,close,close,open,open,adjusted close,adjusted close,dividend amount,dividend amount,high,high,low,low,split coefficient,split coefficient,volume,volume
ticker,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ
date,,,,,,,,,,,,,,,,
2017-06-06,123.1,142.86,123.09,143.28,123.1,140.0969,0.0,0.0,123.31,143.73,122.77,142.65,1.0,1.0,10798527.0,22393024.0
2017-06-07,122.45,143.42,122.79,143.23,122.45,140.6461,0.0,0.0,123.16,143.54,122.02,142.6,1.0,1.0,9039175.0,18842408.0
2017-06-08,121.65,143.57,122.07,143.74,121.65,140.7932,0.0,0.0,122.08,143.8,120.95,142.79,1.0,1.0,8169807.0,25417408.0
2017-06-09,120.54,139.98,120.46,143.74,120.54,137.2726,0.0,0.0,120.91,143.9,120.4,138.11,1.0,1.0,7054664.0,1097837.0
2017-06-12,120.36,139.23,120.33,138.84,120.36,136.5371,0.0,0.0,120.69,139.48,120.27,137.47,1.0,1.0,4927375.0,104453977.0
2017-06-13,120.48,140.36,119.95,140.01,120.48,137.6452,0.0,0.0,120.71,140.56,119.92,139.28,1.0,1.0,3786628.0,51193010.0
2017-06-14,119.82,139.75,121.51,140.92,119.82,137.047,0.0,0.0,121.88,140.93,119.57,138.62,1.0,1.0,21124841.0,60093764.0
2017-06-15,119.32,139.13,119.22,138.35,119.32,136.439,0.0,0.0,119.5,139.28,119.13,137.49,1.0,1.0,6796668.0,55145160.0
2017-06-16,119.34,138.15,119.35,138.72,119.34,135.8487,0.0,0.378,119.5,138.777,119.24,137.638,1.0,1.0,6435674.0,48087413.0
2017-06-19,118.43,140.46,118.74,139.45,118.43,138.1202,0.0,0.0,118.84,140.59,118.33,139.28,1.0,1.0,6786973.0,39626533.0
2017-06-20,118.18,139.36,118.42,140.31,118.18,137.0385,0.0,0.0,118.46,140.5,118.07,139.31,1.0,1.0,4617387.0,40935078.0
2017-06-21,118.52,140.74,118.15,139.66,118.52,138.3955,0.0,0.0,118.66,140.81,118.15,139.59,1.0,1.0,4723749.0,35743366.0
2017-06-22,118.92,140.7,119.13,140.94,118.92,138.3562,0.0,0.0,119.2,141.22,118.6,140.34,1.0,1.0,5811927.0,24099115.0
2017-06-23,119.43,141.24,119.65,140.53,119.43,138.8872,0.0,0.0,119.66,141.42,119.31,140.15,1.0,1.0,9258628.0,21654314.0
2017-06-26,118.36,140.58,118.29,142.0,118.36,138.2382,0.0,0.0,118.54,142.29,118.17,140.27,1.0,1.0,6593380.0,34411094.0
2017-06-27,118.81,138.03,118.87,140.07,118.81,135.7307,0.0,0.0,119.05,140.22,118.48,138.02,1.0,1.0,5759344.0,65957819.0
2017-06-28,118.9,140.02,119.06,138.54,118.9,137.6875,0.0,0.0,119.06,140.14,118.69,137.74,1.0,1.0,4220130.0,57427180.0
2017-06-29,118.32,137.59,117.97,139.4,118.32,135.298,0.0,0.0,118.64,139.44,117.91,136.25,1.0,1.0,7705165.0,88769351.0
2017-06-30,118.02,137.64,118.08,138.0,118.02,135.3472,0.0,0.0,118.41,138.6687,117.95,137.19,1.0,1.0,7272612.0,68898255.0
2017-07-03,116.09,136.19,116.54,138.25,116.09,133.9213,0.0,0.0,116.85,138.43,115.94,136.1,1.0,1.0,12145049.0,32797005.0
2017-07-05,116.52,137.53,115.91,136.57,116.52,135.239,0.0,0.0,116.67,137.9,115.87,136.16,1.0,1.0,7223256.0,42116584.0
2017-07-06,116.47,136.29,116.58,136.47,116.47,134.0197,0.0,0.0,116.61,137.06,116.24,135.8,1.0,1.0,4443390.0,48430476.0
2017-07-07,115.28,137.76,115.78,136.74,115.28,135.4652,0.0,0.0,115.79,138.13,114.8,136.74,1.0,1.0,11153608.0,36970402.0
2017-07-10,115.47,138.66,115.02,137.84,115.47,136.3502,0.0,0.0,115.57,138.985,114.83,137.5,1.0,1.0,4970886.0,24853545.0
2017-07-11,115.62,139.05,115.26,138.44,115.62,136.7337,0.0,0.0,115.77,139.22,114.88,137.94,1.0,1.0,6637939.0,31517660.0
2017-07-12,116.03,140.7,116.21,140.21,116.03,138.3562,0.0,0.0,116.33,140.86,115.87,139.955,1.0,1.0,4654361.0,36045799.0
2017-07-13,115.82,141.01,116.04,140.85,115.82,138.661,0.0,0.0,116.04,141.35,115.67,140.6,1.0,1.0,4148935.0,31073595.0
2017-07-14,116.77,142.12,117.04,141.57,116.77,139.7525,0.0,0.0,117.25,142.3,116.64,141.19,1.0,1.0,5788219.0,34544847.0
2017-07-17,117.29,142.19,117.42,142.25,117.29,139.8214,0.0,0.0,117.53,142.69,117.23,141.92,1.0,1.0,5170849.0,25343155.0
2017-07-18,118.11,143.14,117.99,142.06,118.11,140.7556,0.0,0.0,118.33,143.17,117.88,141.64,1.0,1.0,7158573.0,25748527.0
2017-07-19,118.08,143.98,118.18,143.53,118.08,141.5816,0.0,0.0,118.27,144.19,117.84,143.5,1.0,1.0,3205142.0,33752309.0
2017-07-20,118.24,144.17,117.92,144.31,118.24,141.7684,0.0,0.0,118.62,144.44,117.66,143.52,1.0,1.0,5571648.0,36139449.0
2017-07-21,119.26,144.11,119.0,143.62,119.26,141.7094,0.0,0.0,119.39,144.11,118.75,143.35,1.0,1.0,10135919.0,39697094.0
2017-07-24,119.31,144.77,119.52,144.07,119.31,142.3584,0.0,0.0,119.58,144.87,119.18,143.92,1.0,1.0,3654331.0,26712732.0
2017-07-25,118.92,144.4,118.99,144.29,118.92,141.9946,0.0,0.0,119.32,144.74,118.79,144.01,1.0,1.0,6202988.0,28120884.0
2017-07-26,119.88,144.87,118.57,144.74,119.88,142.4567,0.0,0.0,120.15,144.95,118.55,144.53,1.0,1.0,8527944.0,18610634.0
2017-07-27,119.79,143.96,120.1,145.86,119.79,141.5619,0.0,0.0,120.14,145.96,119.28,142.3,1.0,1.0,6385216.0,80665866.0
2017-07-28,120.69,143.84,120.15,143.14,120.69,141.4439,0.0,0.0,120.86,144.0752,120.14,142.87,1.0,1.0,7393606.0,38013176.0
2017-07-31,120.75,143.23,120.5,144.22,120.75,140.8441,0.0,0.0,120.81,144.43,120.45,142.92,1.0,1.0,3944561.0,33848645.0
2017-08-01,120.65,143.56,120.44,143.7,120.65,141.1686,0.0,0.0,121.14,143.76,120.44,143.12,1.0,1.0,7365056.0,20149421.0
2017-08-02,120.4,143.95,120.51,144.45,120.4,141.5521,0.0,0.0,121.02,144.52,120.34,142.61,1.0,1.0,5945279.0,41769667.0
2017-08-03,120.59,143.39,120.31,144.17,120.59,141.0014,0.0,0.0,120.83,144.17,120.31,143.13,1.0,1.0,4275576.0,27112799.0
2017-08-04,119.65,143.65,119.97,143.65,119.65,141.2571,0.0,0.0,120.04,143.97,119.22,143.06,1.0,1.0,8644781.0,29472909.0
2017-08-07,119.51,144.56,119.43,143.89,119.51,142.1519,0.0,0.0,119.79,144.56,119.43,143.71,1.0,1.0,3010138.0,17933942.0
2017-08-08,119.86,144.31,120.02,144.27,119.86,141.9061,0.0,0.0,120.12,145.47,118.97,143.9,1.0,1.0,7227220.0,30810364.0
2017-08-09,121.31,144.12,121.02,143.14,121.31,141.7192,0.0,0.0,121.55,144.19,120.76,142.795,1.0,1.0,9186236.0,36169473.0
2017-08-10,122.21,141.03,122.08,143.33,122.21,138.6807,0.0,0.0,122.44,143.4,122.03,140.89,1.0,1.0,9817872.0,63331663.0
2017-08-11,122.79,142.1,122.24,141.24,122.79,139.7329,0.0,0.0,122.83,142.41,122.03,140.9,1.0,1.0,8019519.0,45862488.0
2017-08-14,121.92,143.93,121.98,143.23,121.92,141.5324,0.0,0.0,122.24,144.15,121.68,143.19,1.0,1.0,6035297.0,34161024.0
2017-08-15,120.98,144.03,120.6,144.22,120.98,141.6307,0.0,0.0,121.23,144.302,120.58,143.64,1.0,1.0,6731340.0,25509181.0
2017-08-16,121.87,144.28,120.66,144.37,121.87,141.8766,0.0,0.0,122.06,144.96,120.66,143.8007,1.0,1.0,8267341.0,31913002.0
2017-08-17,122.49,141.33,122.29,143.73,122.49,138.9757,0.0,0.0,122.61,143.94,121.76,141.33,1.0,1.0,8183805.0,70190975.0
2017-08-18,122.3,141.23,123.37,141.43,122.3,138.8774,0.0,0.0,123.54,142.2,122.0,140.65,1.0,1.0,13654226.0,60751940.0
2017-08-21,122.76,141.05,122.54,141.23,122.76,138.7004,0.0,0.0,122.98,141.53,122.5,140.18,1.0,1.0,5549687.0,37111487.0
2017-08-22,122.21,143.2,122.56,141.8,122.21,140.8146,0.0,0.0,122.56,143.35,121.85,141.76,1.0,1.0,6493937.0,36294232.0
2017-08-23,122.67,142.69,122.58,142.5,122.67,140.313,0.0,0.0,122.69,143.01,122.31,142.38,1.0,1.0,5038391.0,25702324.0
2017-08-24,122.29,142.27,122.39,143.03,122.29,139.9,0.0,0.0,122.64,143.17,122.13,141.47,1.0,1.0,4193396.0,38160803.0
